date	close
2-May-11	346.28
3-May-11	348.20
4-May-11	349.57
5-May-11	346.75
6-May-11	346.66
9-May-11	347.60
10-May-11	349.45
11-May-11	347.23
12-May-11	346.57
13-May-11	340.50
16-May-11	333.30
17-May-11	336.14
18-May-11	339.87
19-May-11	340.53
20-May-11	335.22
23-May-11	334.40
24-May-11	332.19
25-May-11	336.78
26-May-11	335.00
27-May-11	337.41
31-May-11	347.83
1-Jun-11	345.51
2-Jun-11	346.10
3-Jun-11	343.44
6-Jun-11	338.04
7-Jun-11	332.04
8-Jun-11	332.24
9-Jun-11	331.49
10-Jun-11	325.90
13-Jun-11	326.60
14-Jun-11	332.44
15-Jun-11	326.75
16-Jun-11	325.16
17-Jun-11	320.26
20-Jun-11	315.32
21-Jun-11	325.30
22-Jun-11	322.61
23-Jun-11	331.23
24-Jun-11	326.35
27-Jun-11	332.04
28-Jun-11	335.26
29-Jun-11	334.04
30-Jun-11	335.67
1-Jul-11	343.26
5-Jul-11	349.43
6-Jul-11	351.76
7-Jul-11	357.20
8-Jul-11	359.71
11-Jul-11	354.00
12-Jul-11	353.75
13-Jul-11	358.02
14-Jul-11	357.77
15-Jul-11	364.92
18-Jul-11	373.80
19-Jul-11	376.85
20-Jul-11	386.90
21-Jul-11	387.29
22-Jul-11	393.30
25-Jul-11	398.50
26-Jul-11	403.41
27-Jul-11	392.59
28-Jul-11	391.82
29-Jul-11	390.48
1-Aug-11	396.75
2-Aug-11	388.91
3-Aug-11	392.57
4-Aug-11	377.37
5-Aug-11	373.62
8-Aug-11	353.21
9-Aug-11	374.01
10-Aug-11	363.69
11-Aug-11	373.70
12-Aug-11	376.99
15-Aug-11	383.41
16-Aug-11	380.48
17-Aug-11	380.44
18-Aug-11	366.05
19-Aug-11	356.03
22-Aug-11	356.44
23-Aug-11	373.60
24-Aug-11	376.18
25-Aug-11	373.72
26-Aug-11	383.58
29-Aug-11	389.97
30-Aug-11	389.99
31-Aug-11	384.83
1-Sep-11	381.03
2-Sep-11	374.05
6-Sep-11	379.74
7-Sep-11	383.93
8-Sep-11	384.14
9-Sep-11	377.48
12-Sep-11	379.94
13-Sep-11	384.62
14-Sep-11	389.30
15-Sep-11	392.96
16-Sep-11	400.50
19-Sep-11	411.63
20-Sep-11	413.45
21-Sep-11	412.14
22-Sep-11	401.82
23-Sep-11	404.30
26-Sep-11	403.17
27-Sep-11	399.26
28-Sep-11	397.01
29-Sep-11	390.57
30-Sep-11	381.32
3-Oct-11	374.60
4-Oct-11	372.50
5-Oct-11	378.25
6-Oct-11	377.37
7-Oct-11	369.80
10-Oct-11	388.81
11-Oct-11	400.29
12-Oct-11	402.19
13-Oct-11	408.43
14-Oct-11	422.00
17-Oct-11	419.99
18-Oct-11	422.24
19-Oct-11	398.62
20-Oct-11	395.31
21-Oct-11	392.87
24-Oct-11	405.77
25-Oct-11	397.77
26-Oct-11	400.60
27-Oct-11	404.69
28-Oct-11	404.95
31-Oct-11	404.78
1-Nov-11	396.51
2-Nov-11	397.41
3-Nov-11	403.07
4-Nov-11	400.24
7-Nov-11	399.73
8-Nov-11	406.23
9-Nov-11	395.28
10-Nov-11	385.22
11-Nov-11	384.62
14-Nov-11	379.26
15-Nov-11	388.83
16-Nov-11	384.77
17-Nov-11	377.41
18-Nov-11	374.94
21-Nov-11	369.01
22-Nov-11	376.51
23-Nov-11	366.99
25-Nov-11	363.57
28-Nov-11	376.12
29-Nov-11	373.20
30-Nov-11	382.20
1-Dec-11	387.93
2-Dec-11	389.70
5-Dec-11	393.01
6-Dec-11	390.95
7-Dec-11	389.09
8-Dec-11	390.66
9-Dec-11	393.62
12-Dec-11	391.84
13-Dec-11	388.81
14-Dec-11	380.19
15-Dec-11	378.94
16-Dec-11	381.02
19-Dec-11	382.21
20-Dec-11	395.95
21-Dec-11	396.44
22-Dec-11	398.55
23-Dec-11	403.43
27-Dec-11	406.53
28-Dec-11	402.64
29-Dec-11	405.12
30-Dec-11	405.00
3-Jan-12	411.23
4-Jan-12	413.44
5-Jan-12	418.03
6-Jan-12	422.40
9-Jan-12	421.73
10-Jan-12	423.24
11-Jan-12	422.55
12-Jan-12	421.39
13-Jan-12	419.81
17-Jan-12	424.70
18-Jan-12	429.11
19-Jan-12	427.75
20-Jan-12	420.30
23-Jan-12	427.41
24-Jan-12	420.41
25-Jan-12	446.66
26-Jan-12	444.63
27-Jan-12	447.28
30-Jan-12	453.01
31-Jan-12	456.48
1-Feb-12	456.19
2-Feb-12	455.12
3-Feb-12	459.68
6-Feb-12	463.97
7-Feb-12	468.83
8-Feb-12	476.68
9-Feb-12	493.17
10-Feb-12	493.42
13-Feb-12	502.60
14-Feb-12	509.46
15-Feb-12	497.67
16-Feb-12	502.21
17-Feb-12	502.12
21-Feb-12	514.85
22-Feb-12	513.04
23-Feb-12	516.39
24-Feb-12	522.41
27-Feb-12	525.76
28-Feb-12	535.41
29-Feb-12	542.44
1-Mar-12	544.47
2-Mar-12	545.18
5-Mar-12	533.16
6-Mar-12	530.26
7-Mar-12	530.69
8-Mar-12	541.99
9-Mar-12	545.17
12-Mar-12	552.00
13-Mar-12	568.10
14-Mar-12	589.58
15-Mar-12	585.56
16-Mar-12	585.57
19-Mar-12	601.10
20-Mar-12	605.96
21-Mar-12	602.50
22-Mar-12	599.34
23-Mar-12	596.05
26-Mar-12	606.98
27-Mar-12	614.48
28-Mar-12	617.62
29-Mar-12	609.86
30-Mar-12	599.55
2-Apr-12	618.63
3-Apr-12	629.32
4-Apr-12	624.31
5-Apr-12	633.68
9-Apr-12	636.23
10-Apr-12	628.44
11-Apr-12	626.20
12-Apr-12	622.77
13-Apr-12	605.23
16-Apr-12	580.13
17-Apr-12	609.70
18-Apr-12	608.34
19-Apr-12	587.44
20-Apr-12	572.98
23-Apr-12	571.70
24-Apr-12	560.28
25-Apr-12	610.00
26-Apr-12	607.70
27-Apr-12	603.00
30-Apr-12	583.98
1-May-12	582.13